"riding_id","date","prediction_338","probability_338","prediction_poliwave","probability_poliwave","prediction_signal","probability_signal","prediction","probability"
10001,2025-04-01,"LPC",0.95,"LPC",0.784908597642961,"LPC",0.8,"LPC",0.844969532547654
10002,2025-04-01,"LPC",0.95,"LPC",0.911463803422051,"LPC",0.8,"LPC",0.887154601140684
10003,2025-04-01,"LPC",0.65,"LPC",0.57502278824506,"LPC",0.65,"LPC",0.625007596081687
10004,2025-04-01,"LPC",0.8,"LPC",0.685909295337407,"LPC",0.65,"LPC",0.711969765112469
10005,2025-04-01,"LPC",0.8,"LPC",0.624315169945322,"LPC",0.8,"LPC",0.741438389981774
10006,2025-04-01,"LPC",0.95,"LPC",0.913639794939507,"LPC",0.8,"LPC",0.887879931646502
10007,2025-04-01,"LPC",0.8,"LPC",0.576134292020692,"LPC",0.8,"LPC",0.725378097340231
11001,2025-04-01,"LPC",0.95,"LPC",0.791202184023183,"LPC",0.8,"LPC",0.847067394674394
11002,2025-04-01,"LPC",0.8,"LPC",0.754605297178244,"LPC",0.8,"LPC",0.784868432392748
11003,2025-04-01,"LPC",0.8,"LPC",0.717554286597658,"LPC",0.8,"LPC",0.772518095532552
11004,2025-04-01,"LPC",0.8,"LPC",0.698459485019095,"LPC",0.8,"LPC",0.766153161673032
12001,2025-04-01,"LPC",0.5,"CPC",0.688090345660824,"CPC",0.65,"CPC",0.446030115220275
12002,2025-04-01,"LPC",0.8,"LPC",0.65990699796729,"LPC",0.8,"LPC",0.753302332655763
12003,2025-04-01,"LPC",0.8,"LPC",0.628251418820479,"LPC",0.8,"LPC",0.74275047294016
12004,2025-04-01,"LPC",0.5,"CPC",0.589196613015126,"CPC",0.5,"CPC",0.363065537671709
12005,2025-04-01,"LPC",0.95,"LPC",0.880576407927253,"LPC",0.95,"LPC",0.926858802642418
12006,2025-04-01,"LPC",0.95,"LPC",0.829521011986396,"LPC",0.8,"LPC",0.859840337328799
12007,2025-04-01,"LPC",0.95,"LPC",0.867217562556991,"LPC",0.8,"LPC",0.872405854185664
12008,2025-04-01,"LPC",0.95,"LPC",0.701991685184856,"LPC",0.8,"LPC",0.817330561728285
12009,2025-04-01,"LPC",0.95,"LPC",0.813848082810783,"LPC",0.8,"LPC",0.854616027603594
12010,2025-04-01,"LPC",0.65,"CPC",0.5278393453007,"LPC",0.5,"LPC",0.383333333333333
12011,2025-04-01,"LPC",0.8,"LPC",0.644839791044677,"LPC",0.8,"LPC",0.748279930348225
13001,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.95,"LPC",0.963333333333333
13002,2025-04-01,"LPC",0.95,"LPC",0.99,"LPC",0.8,"LPC",0.913333333333333
13003,2025-04-01,"LPC",0.8,"LPC",0.734817891275791,"LPC",0.65,"LPC",0.728272630425264
13004,2025-04-01,"CPC",0.65,"CPC",0.602444237692107,"CPC",0.65,"CPC",0.634148079230702
13005,2025-04-01,"LPC",0.95,"LPC",0.859235238174527,"LPC",0.8,"LPC",0.869745079391509
13006,2025-04-01,"LPC",0.5,"LPC",0.597238707341126,"LPC",0.5,"LPC",0.532412902447042
13007,2025-04-01,"LPC",0.95,"LPC",0.940516848094569,"LPC",0.8,"LPC",0.896838949364856
